"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8782","Talk to an expert with empty ""Additional Info""","","Sun Apr 20 14:07:15 GMT 2025","passed","Sun Apr 20 14:07:24 GMT 2025","","Contact Us Page Form","",""
"","6946","Download full coverage with valid data","","Sun Apr 20 13:03:39 GMT 2025","passed","Sun Apr 20 13:03:46 GMT 2025","","Global Coverage Page Form","",""
"","14457","Talk to an expert with empty ""Phone number"" field","","Sun Apr 20 14:06:53 GMT 2025","passed","Sun Apr 20 14:07:07 GMT 2025","","Contact Us Page Form","",""
"","3668","Check the LinkedIn link in the footer","","Sun Apr 20 13:04:09 GMT 2025","passed","Sun Apr 20 13:04:13 GMT 2025","","Social Media Links Navigation","",""
"","40264","Check the ability to send a message","","Sun Apr 20 14:05:15 GMT 2025","passed","Sun Apr 20 14:05:55 GMT 2025","","Assistant Functionality","",""
"","9324","Talk to an expert with empty ""Business email"" field","","Sun Apr 20 14:06:44 GMT 2025","passed","Sun Apr 20 14:06:53 GMT 2025","","Contact Us Page Form","",""
"","28612","Talk to an expert with empty ""Please describe your request"" field","","Sun Apr 20 14:05:56 GMT 2025","passed","Sun Apr 20 14:06:24 GMT 2025","","Contact Us Page Form","",""
"","5300","Check the Twitter link in the footer","","Sun Apr 20 13:04:13 GMT 2025","passed","Sun Apr 20 13:04:18 GMT 2025","","Social Media Links Navigation","",""
"","9661","Talk to an expert with empty ""Last name"" field","","Sun Apr 20 14:06:34 GMT 2025","passed","Sun Apr 20 14:06:44 GMT 2025","","Contact Us Page Form","",""
"","8156","Talk to an expert with empty ""Company website"" field","","Sun Apr 20 14:07:07 GMT 2025","passed","Sun Apr 20 14:07:15 GMT 2025","","Contact Us Page Form","",""
"","2293","Download full coverage with empty fields","","Sun Apr 20 13:03:46 GMT 2025","passed","Sun Apr 20 13:03:48 GMT 2025","","Global Coverage Page Form","",""
"","1300","Check the Facebook link in the footer","","Sun Apr 20 13:04:18 GMT 2025","passed","Sun Apr 20 13:04:19 GMT 2025","","Social Media Links Navigation","",""
"","3331","Check currency change from EUR to USD","","Sun Apr 20 13:03:26 GMT 2025","passed","Sun Apr 20 13:03:29 GMT 2025","","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/messaging","",""
"","4988","Check currency change from USD to EUR","","Sun Apr 20 13:03:21 GMT 2025","passed","Sun Apr 20 13:03:26 GMT 2025","","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/messaging","",""
"","12329","Talk to an expert with valid data","","Sun Apr 20 14:05:43 GMT 2025","passed","Sun Apr 20 14:05:56 GMT 2025","","Contact Us Page Form","",""
"","9524","Talk to an expert with empty ""First name"" field","","Sun Apr 20 14:06:24 GMT 2025","passed","Sun Apr 20 14:06:34 GMT 2025","","Contact Us Page Form","",""
"","9654","Talk to an expert with empty ""How did you hear about Telnyx?"" field","","Sun Apr 20 14:07:24 GMT 2025","passed","Sun Apr 20 14:07:34 GMT 2025","","Contact Us Page Form","",""
"","1","Download full coverage with empty First Name","","Sun Apr 20 13:03:59 GMT 2025","broken","Sun Apr 20 13:03:59 GMT 2025","","Global Coverage Page Form","",""
