"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/numbers","4","0","","0"
"0","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/elastic-sip","5","0","","0"
"0","","0","Social Media Links Navigation","7","0","","0"
"7","","2","Assistant Functionality","10","0","","0"
"0","","0","Global Coverage Page Form","20","0","","0"
"0","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/video-api","5","0","","0"
"0","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/call-control","5","0","","0"
"17","","1","Contact Us Page Form","26","0","","0"
"0","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/storage","5","0","","0"
"1","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/networking","4","0","","0"
"0","","0","Currency Selection","5","0","","0"
"1","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/number-lookup","4","0","","0"
"0","","0","LinkedIn Link Navigation","1","0","","0"
"0","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/verify-api","5","0","","0"
"0","","1","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/iot-data-plans","4","0","","0"
"0","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/messaging","5","0","","0"
"0","","0","Currency Selection Functionality","3","0","","0"
"0","","0","Currency Selection on Multiple Pages: Testing Currency Selection on /pricing/fax","5","0","","0"
"2","","1","Social Media Links","0","0","","0"
"2","","1","Social Page Link Navigation","0","0","","0"
